# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1.12            	((-7.156213862e+00 -1.047411823e-01 1.523270676e-16) (3.025732211e+00 -7.127852024e-01 -9.790409147e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.618529558e-02 -1.789053466e+00 1.493234881e+01) (1.781963006e-01 7.564330527e-01 2.911381484e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.16            	((-7.586627252e+00 -3.807634506e-01 1.418802497e-16) (3.061583040e+00 -6.519503005e-01 -5.565943876e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((9.519086266e-02 -1.896656813e+00 1.414402419e+01) (1.629875751e-01 7.653957601e-01 2.886658667e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.2             	((-7.757976459e+00 -2.727824224e-01 1.273488981e-16) (3.124644958e+00 -6.087012395e-01 -1.062524746e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((6.819560560e-02 -1.939494115e+00 1.316375062e+01) (1.521753099e-01 7.811612394e-01 2.855827275e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.24            	((-7.590519459e+00 6.612423294e-02 1.067787223e-16) (3.231588763e+00 -5.654623652e-01 7.357602019e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.653105824e-02 -1.897629865e+00 1.199659269e+01) (1.413655913e-01 8.078971908e-01 2.828608916e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.28            	((-7.227994977e+00 4.939865425e-01 7.815668308e-17) (3.396085956e+00 -5.046034382e-01 1.791841153e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.234966356e-01 -1.806998744e+00 1.065159922e+01) (1.261508596e-01 8.490214891e-01 2.805334607e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.32            	((-6.701650888e+00 8.825401075e-01 3.969462725e-17) (3.633958352e+00 -4.125142153e-01 3.240397581e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.206350269e-01 -1.675412722e+00 9.188237830e+00) (1.031285538e-01 9.084895881e-01 2.782783975e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.36            	((-6.084404348e+00 1.181960232e+00 -1.033666171e-17) (3.970393324e+00 -2.771913004e-01 5.159824636e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.954900579e-01 -1.521101087e+00 7.707775112e+00) (6.929782509e-02 9.925983310e-01 2.756937987e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.4             	((-6.199095302e+00 1.534523209e+00 -7.172239840e-17) (4.434880265e+00 -9.712297131e-02 7.570803098e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.836308023e-01 -1.549773825e+00 6.523734689e+00) (2.428074283e-02 1.108720066e+00 2.711765315e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.44            	((-7.414848071e+00 1.905685460e+00 -1.371487615e-16) (5.046596431e+00 1.191052275e-01 1.007407315e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.764213651e-01 -1.853712018e+00 5.899637588e+00) (-2.977630687e-02 1.261649108e+00 2.605361047e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.48            	((-9.862095461e+00 2.373911711e+00 -1.936667330e-16) (5.736351365e+00 3.227736024e-01 1.199409915e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.934779277e-01 -2.465523865e+00 6.078026613e+00) (-8.069340061e-02 1.434087841e+00 2.395996691e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
